y,m,d,Hijri_Date,Hijri_Month_Name,greg_dt,Day_EN,Weekday_AR
1446,3,16,16-03-1446,ربيع الأول,2024-09-19,Thursday,الخميس
1446,3,17,17-03-1446,ربيع الأول,2024-09-20,Friday,الجمعة
1446,3,18,18-03-1446,ربيع الأول,2024-09-21,Saturday,السبت
1446,3,19,19-03-1446,ربيع الأول,2024-09-22,Sunday,الأحد
1446,3,20,20-03-1446,ربيع الأول,2024-09-23,Monday,الاثنين
1446,3,21,21-03-1446,ربيع الأول,2024-09-24,Tuesday,الثلاثاء
1446,3,22,22-03-1446,ربيع الأول,2024-09-25,Wednesday,الأربعاء
1446,3,23,23-03-1446,ربيع الأول,2024-09-26,Thursday,الخميس
1446,3,24,24-03-1446,ربيع الأول,2024-09-27,Friday,الجمعة
1446,3,25,25-03-1446,ربيع الأول,2024-09-28,Saturday,السبت
1446,3,26,26-03-1446,ربيع الأول,2024-09-29,Sunday,الأحد
1446,3,27,27-03-1446,ربيع الأول,2024-09-30,Monday,الاثنين
1446,3,28,28-03-1446,ربيع الأول,2024-10-01,Tuesday,الثلاثاء
1446,3,29,29-03-1446,ربيع الأول,2024-10-02,Wednesday,الأربعاء
1446,3,30,30-03-1446,ربيع الأول,2024-10-03,Thursday,الخميس
1446,4,1,01-04-1446,ربيع الآخر,2024-10-04,Friday,الجمعة
1446,4,2,02-04-1446,ربيع الآخر,2024-10-05,Saturday,السبت
1446,4,3,03-04-1446,ربيع الآخر,2024-10-06,Sunday,الأحد
1446,4,4,04-04-1446,ربيع الآخر,2024-10-07,Monday,الاثنين
1446,4,5,05-04-1446,ربيع الآخر,2024-10-08,Tuesday,الثلاثاء
1446,4,6,06-04-1446,ربيع الآخر,2024-10-09,Wednesday,الأربعاء
1446,4,7,07-04-1446,ربيع الآخر,2024-10-10,Thursday,الخميس
1446,4,8,08-04-1446,ربيع الآخر,2024-10-11,Friday,الجمعة
1446,4,9,09-04-1446,ربيع الآخر,2024-10-12,Saturday,السبت
1446,4,10,10-04-1446,ربيع الآخر,2024-10-13,Sunday,الأحد
1446,4,11,11-04-1446,ربيع الآخر,2024-10-14,Monday,الاثنين
1446,4,12,12-04-1446,ربيع الآخر,2024-10-15,Tuesday,الثلاثاء
1446,4,13,13-04-1446,ربيع الآخر,2024-10-16,Wednesday,الأربعاء
1446,4,14,14-04-1446,ربيع الآخر,2024-10-17,Thursday,الخميس
1446,4,15,15-04-1446,ربيع الآخر,2024-10-18,Friday,الجمعة
1446,4,16,16-04-1446,ربيع الآخر,2024-10-19,Saturday,السبت
1446,4,17,17-04-1446,ربيع الآخر,2024-10-20,Sunday,الأحد
1446,4,18,18-04-1446,ربيع الآخر,2024-10-21,Monday,الاثنين
1446,4,19,19-04-1446,ربيع الآخر,2024-10-22,Tuesday,الثلاثاء
1446,4,20,20-04-1446,ربيع الآخر,2024-10-23,Wednesday,الأربعاء
1446,4,21,21-04-1446,ربيع الآخر,2024-10-24,Thursday,الخميس
1446,4,22,22-04-1446,ربيع الآخر,2024-10-25,Friday,الجمعة
1446,4,23,23-04-1446,ربيع الآخر,2024-10-26,Saturday,السبت
1446,4,24,24-04-1446,ربيع الآخر,2024-10-27,Sunday,الأحد
1446,4,25,25-04-1446,ربيع الآخر,2024-10-28,Monday,الاثنين
1446,4,26,26-04-1446,ربيع الآخر,2024-10-29,Tuesday,الثلاثاء
1446,4,27,27-04-1446,ربيع الآخر,2024-10-30,Wednesday,الأربعاء
1446,4,28,28-04-1446,ربيع الآخر,2024-10-31,Thursday,الخميس
1446,4,29,29-04-1446,ربيع الآخر,2024-11-01,Friday,الجمعة
1446,4,30,30-04-1446,ربيع الآخر,2024-11-02,Saturday,السبت
1446,5,1,01-05-1446,جماد الأول,2024-11-03,Sunday,الأحد
1446,5,2,02-05-1446,جماد الأول,2024-11-04,Monday,الاثنين
1446,5,3,03-05-1446,جماد الأول,2024-11-05,Tuesday,الثلاثاء
1446,5,4,04-05-1446,جماد الأول,2024-11-06,Wednesday,الأربعاء
1446,5,5,05-05-1446,جماد الأول,2024-11-07,Thursday,الخميس
1446,5,6,06-05-1446,جماد الأول,2024-11-08,Friday,الجمعة
1446,5,7,07-05-1446,جماد الأول,2024-11-09,Saturday,السبت
1446,5,8,08-05-1446,جماد الأول,2024-11-10,Sunday,الأحد
1446,5,9,09-05-1446,جماد الأول,2024-11-11,Monday,الاثنين
1446,5,10,10-05-1446,جماد الأول,2024-11-12,Tuesday,الثلاثاء
